period,metric,value,budget
2024-08,New Bookings,889843.96,959943.79
2024-09,New Bookings,861930.01,941750.11
2024-10,New Bookings,1033204.71,933958.83
2024-11,New Bookings,986092.85,978321.74
2024-12,New Bookings,1017426.91,1062442.62
2025-01,New Bookings,1202839.06,1156682.91
2025-02,New Bookings,1215033.17,1225512.09
2025-03,New Bookings,1473835.52,1314121.71
2025-04,New Bookings,1380589.85,1341924.09
2025-05,New Bookings,1376246.75,1367017.62
2025-06,New Bookings,1672122.13,1360901.77
2025-07,New Bookings,1175743.88,1281727.53
2025-08,New Bookings,1052098.55,1225182.01
2025-09,New Bookings,1236192.08,1212821.49
2025-10,New Bookings,1112887.96,1192555.32
2025-11,New Bookings,979064.28,1244756.98
2025-12,New Bookings,1192324.66,1326993.75
2024-01,Churned ARR,104216.51,119886.88
2024-02,Churned ARR,91022.76,121801.51
2024-03,Churned ARR,166838.14,124823.28
2024-04,Churned ARR,106857.72,130248.87
2024-05,Churned ARR,183373.72,126222.61
2024-06,Churned ARR,119140.15,126536.63
2024-07,Churned ARR,155707.1,122425.1
2024-08,Churned ARR,116699.37,122098.74
2024-09,Churned ARR,127268.87,119027.75
2024-10,Churned ARR,116840.37,117594.47
2024-11,Churned ARR,116363.69,120353.47
2024-12,Churned ARR,127902.68,122911.94
2025-01,Churned ARR,136412.53,128691.55
2025-02,Churned ARR,134299.07,131700.95
2025-03,Churned ARR,216513.44,134250.59
2025-04,Churned ARR,163473.1,136217.79
2025-05,Churned ARR,133617.58,138434.6
2025-06,Churned ARR,165480.86,134400.43
2025-07,Churned ARR,116246.33,129811.19
2025-08,Churned ARR,151612.08,128967.61
2025-09,Churned ARR,135981.92,124633.32
2025-10,Churned ARR,144198.26,127163.13
2025-11,Churned ARR,106777.99,127513.79
2025-12,Churned ARR,136412.39,131290.43
2024-01,Sales & Marketing Spend,689774.01,699275.58
2024-02,Sales & Marketing Spend,726016.3,736401.76
2024-03,Sales & Marketing Spend,819719.53,743944.7
2024-04,Sales & Marketing Spend,769683.33,780282.42
2024-05,Sales & Marketing Spend,790416.75,775992.62
2024-06,Sales & Marketing Spend,697928.82,767644.93
2024-07,Sales & Marketing Spend,807240.7,731666.53
2024-08,Sales & Marketing Spend,751593.28,718108.01
2024-09,Sales & Marketing Spend,703320.77,698055.9
2024-10,Sales & Marketing Spend,692554.88,713489.96
2024-11,Sales & Marketing Spend,740629.97,732130.99
2024-12,Sales & Marketing Spend,793866.13,753021.09
2025-01,Sales & Marketing Spend,857556.34,792240.2
2025-02,Sales & Marketing Spend,862832.64,826074.72
2025-03,Sales & Marketing Spend,863241.22,854378.0
2025-04,Sales & Marketing Spend,921120.05,867350.65
2025-05,Sales & Marketing Spend,912004.45,875998.8
2025-06,Sales & Marketing Spend,912664.54,868647.42
2025-07,Sales & Marketing Spend,913524.88,843422.03
2025-08,Sales & Marketing Spend,748036.23,811305.66
2025-09,Sales & Marketing Spend,748372.19,790836.85
2025-10,Sales & Marketing Spend,853630.52,798720.26
2025-11,Sales & Marketing Spend,782596.21,802715.0
2025-12,Sales & Marketing Spend,846198.29,834535.88
2024-01,Headcount Cost,943624.17,952964.09
2024-02,Headcount Cost,967702.29,962473.72
2024-03,Headcount Cost,941273.49,966278.66
2024-04,Headcount Cost,970788.77,974105.08
2024-05,Headcount Cost,992669.04,956725.23
2024-06,Headcount Cost,977903.97,989531.63
2024-07,Headcount Cost,974937.45,1005225.62
2024-08,Headcount Cost,1001213.54,1005984.04
2024-09,Headcount Cost,998786.55,1012696.24
2024-10,Headcount Cost,1022361.62,1013909.15
2024-11,Headcount Cost,1021022.02,1021388.14
2024-12,Headcount Cost,1016908.88,1024251.48
2025-01,Headcount Cost,1031369.65,1036905.38
2025-02,Headcount Cost,1050575.67,1029165.11
2025-03,Headcount Cost,1046147.56,1062974.58
2025-04,Headcount Cost,1046945.89,1046116.17
2025-05,Headcount Cost,1064321.54,1071141.53
2025-06,Headcount Cost,1069730.12,1083822.57
2025-07,Headcount Cost,1086323.65,1086162.37
2025-08,Headcount Cost,1090644.97,1109881.36
2025-09,Headcount Cost,1089986.44,1070344.26
2025-10,Headcount Cost,1117517.62,1094838.75
2025-11,Headcount Cost,1108766.83,1122076.19
2025-12,Headcount Cost,1097454.58,1101365.04
2024-01,Cash Balance,11615693.3,11904703.65
2024-02,Cash Balance,12057090.73,12014650.93
2024-03,Cash Balance,11969968.42,11736013.64
2024-04,Cash Balance,11308776.93,11863019.71
2024-05,Cash Balance,11697723.46,11863398.48
2024-06,Cash Balance,11927038.68,11778172.17
2024-07,Cash Balance,11892961.81,11741716.49
2024-08,Cash Balance,11791701.18,11585783.91
2024-09,Cash Balance,11579586.72,11644201.21
2024-10,Cash Balance,11764797.72,11529272.93
2024-11,Cash Balance,11648714.52,11497901.13
2024-12,Cash Balance,11455440.88,11577683.27
2025-01,Cash Balance,10980631.67,11288233.43
2025-02,Cash Balance,11053094.21,11124941.96
2025-03,Cash Balance,11191294.65,11430220.24
2025-04,Cash Balance,11235431.97,11322164.63
2025-05,Cash Balance,11499789.94,11404041.43
2025-06,Cash Balance,11194096.83,11361328.52
2025-07,Cash Balance,11185330.05,11071265.12
2025-08,Cash Balance,10987903.75,10955462.44
2025-09,Cash Balance,10878886.53,11035966.61
2025-10,Cash Balance,11208608.72,11221140.27
2025-11,Cash Balance,10683465.57,11030352.14
2025-12,Cash Balance,10715504.17,10995189.92
2024-01,Active Customers,2396.85,2356.06
2024-02,Active Customers,2483.2,2445.47
2024-03,Active Customers,2501.94,2488.46
2024-04,Active Customers,2543.07,2570.77
2024-05,Active Customers,2586.49,2599.91
2024-06,Active Customers,2620.79,2645.82
2024-07,Active Customers,2615.27,2585.51
2024-08,Active Customers,2665.13,2628.25
2024-09,Active Customers,2686.37,2666.94
2024-10,Active Customers,2685.73,2698.63
2024-11,Active Customers,2790.46,2793.9
2024-12,Active Customers,2800.75,2803.29
2025-01,Active Customers,2900.37,2845.22
2025-02,Active Customers,2951.45,2940.89
2025-03,Active Customers,2926.35,2982.35
2025-04,Active Customers,3011.92,2997.12
2025-05,Active Customers,3063.7,3084.1
2025-06,Active Customers,3113.01,3182.64
2025-07,Active Customers,3172.32,3107.43
2025-08,Active Customers,3163.8,3140.0
2025-09,Active Customers,3167.43,3182.35
2025-10,Active Customers,3235.23,3204.41
2025-11,Active Customers,3307.29,3235.1
2025-12,Active Customers,3346.52,3433.23
